Date,Open,High,Low,Close,Adj Close,Volume
11/01/16,137,140.929993,135.25,138.899994,125.82077,14801465
12/01/16,139.509995,139.889999,133.679993,134.589996,121.916611,15401165
13/01/16,136.300003,137.970001,132.020004,136.539993,123.682999,24823865
14/01/16,134.589996,135.729996,132.399994,134.839996,122.143074,17869410
15/01/16,136,136.720001,132.020004,132.740005,120.240822,18152225
18/01/16,132.199997,134.009995,130.339996,131.199997,118.845833,18905815
19/01/16,132.600006,137.300003,131.5,136.25,123.420311,24393180
20/01/16,134.779999,135.160004,126.309998,129.25,117.079445,26445660
21/01/16,131.009995,134.600006,129.490005,130.860001,118.537849,20534760
22/01/16,133.399994,137.940002,132.350006,136.800003,123.918518,16567570
25/01/16,138.380005,139.020004,134.699997,135.5,122.740929,9817820
27/01/16,136.020004,136.960007,133,135.610001,122.840584,10075060
28/01/16,135.970001,137.279999,133.529999,134.309998,121.662979,16022000
29/01/16,132.600006,149.899994,130.229996,149.360001,135.295837,87063495
01/02/16,150.880005,155.160004,148.899994,154.479996,139.933716,55294340
02/02/16,154.479996,157,152.080002,152.860001,138.466263,32985285
03/02/16,150.270004,157.800003,150.009995,155.539993,140.89389,29323850
04/02/16,156.940002,157.589996,150.850006,151.869995,137.569473,29722165
05/02/16,151.839996,155.979996,151.839996,155.410004,140.776154,15978405
08/02/16,155.039993,157.899994,153,153.669998,139.199982,16112350
09/02/16,151.710007,153.779999,148.300003,149.369995,135.304886,19050925
10/02/16,148.419998,149.350006,145.520004,147.070007,133.221466,21933695
11/02/16,147,147.960007,141.919998,142.889999,129.435074,15571410
12/02/16,144,146.589996,138.440002,145.690002,131.97142,22277665
15/02/16,147.039993,152.360001,147.029999,150.679993,136.491516,18884615
16/02/16,151.690002,151.860001,146.199997,146.770004,132.949722,16563985
17/02/16,146.580002,146.580002,140.240005,144.070007,130.503967,26398540
18/02/16,145.600006,147.179993,141.279999,142.850006,129.398834,16055755
19/02/16,142.199997,144.720001,141.710007,142.509995,129.090851,11826110
